,href,icons,id,name
23,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFxXaXKP7zcDp,"[{'height': None, 'url': 'https://t.scdn.co/images/26a60378-a374-4cd7-b894-28efa5e154cb.jpg', 'width': None}]",0JQ5DAqbMKFxXaXKP7zcDp,Latin
24,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFAJ5xb0fwo9m,"[{'height': None, 'url': 'https://t.scdn.co/images/568f37f1cab54136939d63bd1f59d40c', 'width': None}]",0JQ5DAqbMKFAJ5xb0fwo9m,Jazz
25,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFAUsdyVjCQuL,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/romance-274x274_8100794c94847b6d27858bed6fa4d91b_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFAUsdyVjCQuL,Romance
26,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFObNLOHydSW8,"[{'height': None, 'url': 'https://t.scdn.co/images/495fadcefe234607b14b2db3381f3f5d.jpeg', 'width': None}]",0JQ5DAqbMKFObNLOHydSW8,Caribbean
27,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFGvOw3O4nLAf,"[{'height': None, 'url': 'https://t.scdn.co/images/2078afd91e4d431eb19efc5bee5ab131.jpeg', 'width': None}]",0JQ5DAqbMKFGvOw3O4nLAf,K-Pop
28,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFRKBHIxJ5hMm,"[{'height': None, 'url': 'https://t.scdn.co/images/b4182906bf244b4994805084c057e9ee.jpeg', 'width': None}]",0JQ5DAqbMKFRKBHIxJ5hMm,Tastemakers
29,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFy78wprEpAjl,"[{'height': None, 'url': 'https://t.scdn.co/images/7fe0f2c9c91f45a3b6bae49d298201a4.jpeg', 'width': None}]",0JQ5DAqbMKFy78wprEpAjl,Folk & Acoustic
30,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFRieVZLLoo9m,"[{'height': None, 'url': 'https://t.scdn.co/images/384c2b595a1648aa801837ff99961188', 'width': None}]",0JQ5DAqbMKFRieVZLLoo9m,Instrumental
31,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFEOEBCABAxo9,"[{'height': None, 'url': 'https://t.scdn.co/images/1a416fb97f5647858c7f09c9cb6e7301', 'width': None}]",0JQ5DAqbMKFEOEBCABAxo9,Netflix
32,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFLjmiZRss79w,"[{'height': None, 'url': 'https://t.scdn.co/images/9210c5a26e6a4b4da2c3ea8e5f87fff8', 'width': None}]",0JQ5DAqbMKFLjmiZRss79w,Ambient
33,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFFgo8jQnAk7E,"[{'height': None, 'url': 'https://t.scdn.co/images/9378062ced4e466980de864ee3cc3bf3', 'width': None}]",0JQ5DAqbMKFFgo8jQnAk7E,API Heritage Month
34,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFF1br7dZcRtK,"[{'height': None, 'url': 'https://t.scdn.co/images/c5495b9f0f694ffcb39c9217d4ed4375', 'width': None}]",0JQ5DAqbMKFF1br7dZcRtK,Pride
35,https://api.spotify.com/v1/browse/categories/0JQ5DAqbMKFPrEiAOxgac3,"[{'height': 274, 'url': 'https://t.scdn.co/media/derived/classical-274x274_abf78251ff3d90d2ceaf029253ca7cb4_0_0_274_274.jpg', 'width': 274}]",0JQ5DAqbMKFPrEiAOxgac3,Classical
