,id_x,track.artists,track.name,playlist_id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track.popularity
0,6YIivt0G3ZUuNrM62jp9pL,AJR,Way Less Sad,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.695,0.541,2,-8.35,1,0.046,0.00707,0.0,0.104,0.409,140.018,207600,4,63.0
4,4MTmAFWHpvB9kPMSRgLFRp,The Lumineers,WHERE WE ARE,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.573,0.507,11,-8.084,1,0.0342,0.759,1.37e-06,0.377,0.363,123.183,172800,4,64.0
8,6y6xhAgZjvxy5kR5rigpY3,"Alesso, Marshmello, James Bay",Chasing Stars (feat. James Bay),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.594,0.64,10,-6.865,1,0.033,0.0169,0.0,0.135,0.492,92.871,170457,4,72.0
12,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,96.0
18,3o9kpgkIcffx0iSwxhuNI2,Em Beihold,Numb Little Bug,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,169238,4,79.0
22,1imMjt1YGNebtrtTAprKV7,Dua Lipa,Love Again,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004,4,69.0
24,4svaKoxMMP7ImmKrD5hfQu,Jax,Victoria’s Secret,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,176125,4,83.0
28,0T5iIrXA4p5GsubkhuBIKV,Stephen Sanchez,Until I Found You,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,177720,3,90.0
32,0zzVTGyRrWpQu8Fr28NRAv,"Marshmello, Demi Lovato",OK Not To Be OK,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,159863,4,76.0
36,18XlJEroUwFo0tLZxscgXE,Maroon 5,Lost,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989,172598,4,75.0
38,76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551,4,93.0
42,4btFHqumCO31GksfuBLLv3,Ed Sheeran,Overpass Graffiti,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,236907,4,80.0
44,7kQkmyoHCEqwe7QwDbkSXM,FINNEAS,Let's Fall in Love for the Night,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,190348,4,72.0
46,3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,4,89.0
48,6w8ZPYdnGajyfPddTWdthN,Adele,Can I Get It,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,210384,4,74.0
50,4N5s8lPTsjI9EGP7K4SXzB,George Ezra,Green Green Grass,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,167614,4,76.0
52,5902W4uHWzhtOff1UK7the,"Alesso, Katy Perry",When I’m Gone (with Katy Perry),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,161267,4,81.0
54,5r43qanLhUCdBj8HN3fa6B,OneRepublic,Sunshine,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,163855,4,83.0
58,1l4iQsOZ5sOXZPMQLvouaB,"Hailee Steinfeld, Anderson .Paak",Coast (feat. Anderson .Paak),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.701,0.875,11,-4.1,1,0.0757,0.0262,7.32e-06,0.137,0.84,111.976,166720,4,80.0
62,1GkHyypTFkUf0QQKwYoXH4,"benny blanco, Marshmello, Vance Joy",You (with Marshmello & Vance Joy),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,169632,4,69.0
64,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,4,89.0
66,3FeVmId7tL5YN8B7R3imoM,"Coldplay, BTS",My Universe,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000,4,85.0
68,2rmwqU7yzTvzkiaRV53DpT,Lizzo,2 Be Loved (Am I Ready),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932,187108,4,84.0
74,1yTTMcUhL7rtz08Dsgb7Qb,"Maren Morris, Hozier",The Bones - with Hozier,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.561,0.597,11,-6.0,0,0.0405,0.286,0.0,0.0979,0.355,76.826,197299,4,71.0
76,1BSMpVGWs3v5BZKnAQziAc,Charlie Puth,Light Switch,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009,185681,4,82.0
78,72yP0DUlWPyH8P7IoxskwN,"Elton John, Britney Spears",Hold Me Closer,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,202246,4,90.0
80,78q4ESvMkPVJzHAV11LAGE,Tom Grennan,Little Bit of Love,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.689,0.706,1,-4.48,0,0.0312,0.0833,0.0,0.105,0.623,106.52,226268,4,67.0
82,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,143901,4,87.0
86,2f0pn9DkEJwAzXApnFh5cr,BANNERS,Someone To You,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.52,0.903,2,-5.497,1,0.042,0.00517,0.0,0.254,0.652,74.988,219801,4,77.0
88,4Hn4zAkBUaNnT8m9p7cYaf,Andy Grammer,Joy,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.675,0.793,2,-6.0,1,0.157,0.108,0.0,0.103,0.233,111.907,193621,4,69.0
90,4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,96.0
94,5c6lM2zjAF6MFoD8C1hiBr,Vance Joy,Clarity,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059,227240,4,70.0
100,2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3,91.0
104,10xV5l9nhLvFpR8mqzs0bL,"Marshmello, Khalid",Numb,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,155589,4,88.0
106,0NmuYnjETG3u3qx0OmEJev,"Nelly, Florida Georgia Line",Lil Bit,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,195962,4,71.0
108,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4,89.0
110,5dn6QANKbf76pANGjMBida,"MAX, SUGA",Blueberry Eyes (feat. SUGA of BTS),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.746,0.611,0,-7.034,0,0.101,0.454,0.000922,0.133,0.411,149.967,172245,4,69.0
112,3BLWGYOcy1svvsBByeFxLh,John Legend,Wonder Woman,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.628,0.476,0,-4.947,1,0.0352,0.417,0.0,0.121,0.336,147.915,168562,4,72.0
116,5iFwAOB2TFkPJk8sMlxP8g,PUBLIC,Make You Mine,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,232907,4,78.0
120,07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680,4,81.0
122,0mBP9X2gPCuapvpZ7TGDk3,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,154487,4,93.0
124,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,Electric Love,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4,82.0
126,2HvtedoEeymVWrBPyAMNwZ,MisterWives,SUPERBLOOM,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.558,0.889,8,-3.945,1,0.102,0.191,0.000387,0.328,0.716,170.102,213547,4,70.0
128,7rpNuuoMbid56XkDsx2FjE,Niall Horan,Black And White,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.443,0.582,2,-6.02,1,0.0482,0.0301,0.0,0.127,0.239,147.589,193090,4,74.0
130,37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4,84.0
132,5HCyWlXZPP0y6Gqq8TgA20,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,141806,4,89.0
134,0ohcCrxZkBfFbkuRPOZQZX,LANY,dancing in the kitchen,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.619,0.736,11,-7.651,1,0.0425,0.0328,0.0,0.0864,0.299,93.993,208600,4,71.0
136,1QxIFMs4M8qd5cbJJu80v4,Khalid,Skyline,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996,182895,5,78.0
140,38XLUjlR84JEwK0SOvX77a,Tai Verdes,Let's go to Hell,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.782,0.798,4,-5.07,0,0.0337,0.141,0.0,0.685,0.905,127.89,152182,4,70.0
144,0mA7zotmg2ZFMRALljdZsS,Tones And I,Cloudy Day,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,185304,4,69.0
146,3ddNKnYpVx0uI8vcwbTQ5Y,"Surfaces, Tai Verdes",Sheesh!,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.743,0.832,5,-3.937,1,0.0611,0.161,0.0,0.0925,0.801,149.951,148847,4,69.0
148,4qu63nuBpdn0qHUHuObEj1,"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4,86.0
150,6zSpb8dQRaw0M1dK8PBwQz,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4,89.0
152,4h4QlmocP3IuwYEj2j14p8,"Nicky Youre, dazy",Sunroof,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,163026,4,92.0
158,7eQHxigpuDJjCG50JyzU8v,"MAX, Ali Gatie",Butterflies,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.7,0.613,11,-4.041,1,0.0408,0.385,0.0,0.0887,0.42,88.084,191250,4,77.0
160,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,3 Nights,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,177667,4,78.0
166,0kWQn0wLok1lawHAkGSMW9,Bazzi,I Like That,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.665,0.692,6,-5.431,0,0.112,0.172,0.0,0.191,0.68,74.474,158084,4,65.0
168,0O6u0VJ46W86TxN9wgyqDj,"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,192841,4,92.0
170,1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955,4,93.0
174,0z8hI3OPS8ADPWtoCjjLl6,"Shawn Mendes, Tainy",Summer of Love (Shawn Mendes & Tainy),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,4,82.0
176,6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4,83.0
180,472vIK1ldetTxRxG3ovaiY,Dan + Shay,Glad You Exist,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,144533,4,70.0
182,0Bm2kjXM4w6JlwS6jpTmfO,Meghan Trainor,Don't I Make It Look Easy,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.628,0.742,0,-4.51,1,0.0668,0.0624,0.0,0.274,0.829,148.756,154888,4,71.0
184,1sx0XsWUusUoPstbvokZjP,Tai Verdes,A-O-K,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,173640,4,77.0
186,0QBzMgT7NIeoCYy3sJCof1,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,206071,4,88.0
188,6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,210463,4,77.0
190,2zBDKzqa6sdxeI0fC6OWIC,Tones And I,Fly Away,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988,178157,4,72.0
192,1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,191822,4,90.0
196,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,90.0
200,5lHxARJJrZc3ss4ZVmGWfz,Latto,Big Energy,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.935,0.81,11,-3.838,0,0.117,0.0401,0.0,0.349,0.787,106.028,173182,4,66.0
202,5Ne1q9Hv3l2NHBA3Agt8WT,Surfaces,Wave of You,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.695,0.656,1,-6.038,1,0.0489,0.057,0.0,0.267,0.346,90.986,213842,4,71.0
204,31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779,4,76.0
206,5f1joOtoMeyppIcJGZQvqJ,"Kane Brown, Swae Lee, Khalid",Be Like That - feat. Swae Lee & Khalid,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4,76.0
208,4ja2gzrNh9VNigzoXfmbwD,Peach Tree Rascals,Mariposa,37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.676,0.525,9,-5.88,1,0.028,0.617,0.0,0.356,0.421,112.011,210000,4,75.0
212,463CkQjx2Zk1yXoBuierM9,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,4,78.0
214,0gCNs3jCCDhObAK0MRghtv,"Drax Project, SIX60",Catching Feelings (feat. SIX60),37i9dQZF1DX3rxVfibe1L0,Mood Booster,0.396,0.521,3,-5.877,1,0.101,0.605,0.0,0.157,0.34,175.558,218854,4,67.0
216,6YIivt0G3ZUuNrM62jp9pL,AJR,Way Less Sad,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.695,0.541,2,-8.35,1,0.046,0.00707,0.0,0.104,0.409,140.018,207600,4,63.0
220,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,96.0
226,21H0pUV2uPIPcFnFhgTBjo,"Kygo, Gryffin, Calum Scott",Woke Up in Love,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.643,0.585,2,-5.994,1,0.0369,0.225,0.0,0.0927,0.188,106.015,216873,4,80.0
230,2gZwBmkSmsVfEPFWGuWTDk,"Gryffin, Kyle Reynolds",Best Is Yet To Come (with Kyle Reynolds),37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.569,0.85,4,-3.914,1,0.0369,0.0148,0.0,0.245,0.551,122.042,215201,4,67.0
234,4NexTaCZZ7Ehnf03A6SVjt,"Galantis, JVKE",Dandelion,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.8,0.66,0,-4.903,1,0.158,0.158,0.02,0.14,0.634,117.923,140012,4,69.0
238,4RAR8g8fZNB106ezUurnE0,"Kygo, DNCE",Dancing Feet (feat. DNCE),37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949,215203,4,80.0
242,2Xnv3GntqbBH1juvUYSpHG,Ava Max,So Am I,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.681,0.657,6,-4.671,1,0.0432,0.0748,0.0,0.353,0.628,130.089,183027,4,72.0
246,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,Rescue Me,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.759,0.605,7,-7.737,1,0.0433,0.156,0.0,0.694,0.64,121.049,158900,4,71.0
250,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,Castle on the Hill,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,79.0
254,1zOOl8f7qkjj0AmvlCfLyQ,Alan Walker,The Drum,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.783,0.762,6,-4.727,1,0.0507,0.158,6.56e-05,0.092,0.33,127.993,189288,4,72.0
256,1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.394,0.718,7,-6.336,1,0.0607,0.706,0.0,0.116,0.247,151.912,158258,4,58.0
258,04THDeae1JffG8rhV5s14d,Smith & Thell,Year of the Young,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.608,0.877,7,-6.675,0,0.0381,0.000819,1.29e-05,0.0591,0.737,145.004,164200,4,58.0
260,3iw6V4LH7yPj1ESORX9RIN,"Nathan Evans, 220 KID, Billen Ted",Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750,4,77.0
264,0cgy8EueqwMuYzOZrW5vPB,"Yung Gravy, bbno$, Rich Brian",C'est La Vie (with bbno$ & Rich Brian),37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.888,0.778,9,-3.671,1,0.0945,0.0566,0.0,0.0653,0.774,142.128,160162,4,76.0
268,1Pmp486RrLRkaEkE3HFHXP,Ava Max,Who's Laughing Now,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.648,0.641,7,-5.521,1,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,180348,4,69.0
270,6rAGFY9D3ah6Lb7fUgbNNH,"Alan Walker, salem ilese",Fake A Smile,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.447,0.553,0,-4.817,1,0.0322,0.212,0.0,0.165,0.252,149.877,168118,4,62.0
274,404b6bC4GIxPsNssJmfC1f,"bbno$, Diplo",pogo,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.729,0.973,4,-2.761,1,0.0759,0.0424,0.205,0.333,0.687,124.957,207360,4,68.0
276,4UxATpWvXewD5EZUW01EeQ,Bastille,Thelma + Louise,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.766,0.83,9,-3.335,1,0.1,0.0146,0.0,0.035,0.756,121.948,137477,4,59.0
278,43aNLlvCErobCJHCBOz7c1,James Blunt,The Truth,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.673,0.688,1,-6.434,1,0.0527,0.0578,1.44e-05,0.133,0.848,121.967,222076,4,61.0
280,2Z4Rf2zTXEiJjfm8Y0RtLF,"Smith & Thell, Swedish Jam Factory",Forgive Me Friend,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.591,0.811,1,-5.749,1,0.0319,0.00147,0.0,0.198,0.646,127.919,216133,4,55.0
282,5FH5U5zlicxKUXK6DruWKM,"Diana Ross, Tame Impala",Turn Up The Sunshine - From 'Minions: The Rise of Gru' Soundtrack,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.776,0.676,11,-5.007,1,0.0511,0.114,3.29e-06,0.0687,0.774,110.017,229611,4,60.0
286,4poybupy26pTWPr9zY1i7h,Nea,Some Say,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.779,0.342,3,-6.316,0,0.0405,0.701,2.75e-06,0.132,0.482,104.995,175602,4,69.0
288,6i7zAdNhzUN2k1HcrBxPHG,"Ofenbach, Quarterhead, Norma Jean Martine",Head Shoulders Knees & Toes (feat. Norma Jean Martine),37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,156960,4,71.0
290,1nAvS4GbkxR7iISU5ZfLPf,BEN & TAN,YES,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.563,0.583,7,-7.302,1,0.031,0.00658,0.0,0.102,0.525,91.899,180489,4,59.0
292,7a53HqqArd4b9NF4XAmlbI,Ava Max,Kings & Queens,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4,82.0
294,6sYJuVcEu4gFHmeTLdHzRz,"GAMPER & DADONI, Emily Roberts",Bittersweet Symphony (feat. Emily Roberts),37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.676,0.582,9,-7.58,1,0.128,0.221,0.00627,0.515,0.447,124.012,194618,4,65.0
296,1J2EmhjTmHQxLShYQK7Xti,"UNDRESSD, Ellie May",Forever Young,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.594,0.725,8,-7.225,0,0.0293,0.0375,1.06e-05,0.237,0.572,122.983,201766,4,65.0
298,3kpbrmrBVR5hks1DtWNQaW,Smith & Thell,Goliath,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.529,0.821,9,-6.911,1,0.0505,0.000356,1.34e-06,0.0661,0.484,127.967,204880,4,55.0
300,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4,91.0
304,6YQlCOZnlFmqeciAh58fDE,Coldplay,Orphans,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.503,0.808,11,-5.051,0,0.0451,0.0258,0.00149,0.557,0.282,107.973,197533,4,54.0
306,0o9bHFc8Lt5tZFvTjNZTNf,"John De Sohn, LIAMOO",Forever Young,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.651,0.617,8,-6.077,1,0.0309,0.179,0.0,0.113,0.591,121.977,167912,4,57.0
308,7y3c1oJMY1CwwtOZ84Qovu,"Regard, Years & Years",Hallucination,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02,174795,4,74.0
312,5hlwCtGdtDBzXeMBJpD5IK,Smith & Thell,Toast,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.548,0.806,1,-7.249,1,0.0628,0.0448,0.0,0.126,0.749,189.996,178148,4,63.0
314,6hCGVqheUBzymvfA7IB4Y9,Dagny,Somebody,37i9dQZF1DXdPec7aLTmlC,Happy Hits!,0.721,0.764,0,-4.811,1,0.0384,0.00211,0.000147,0.145,0.466,117.912,190413,4,63.0
