,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
54,False,Feel good with this positively timeless playlist!,https://api.spotify.com/v1/playlists/37i9dQZF1DX9XIFQuFvzM4,37i9dQZF1DX9XIFQuFvzM4,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000313a02d059c0479e65a850267', 'width': None}]",Feelin' Good,,,MTY2MDE2ODU0MSwwMDAwMDAwMDlkMDZiMzU4Mjk3NDQ4OWNhZjAwMzc5ZDg4NmE1YzBj,playlist,spotify:playlist:37i9dQZF1DX9XIFQuFvzM4,https://open.spotify.com/playlist/37i9dQZF1DX9XIFQuFvzM4,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX9XIFQuFvzM4/tracks,100
55,False,Uplifting instrumental beats to brighten your day.,https://api.spotify.com/v1/playlists/37i9dQZF1DXcNb6Ba0LuVc,37i9dQZF1DXcNb6Ba0LuVc,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000030f97f05e44adab4a249fd719', 'width': None}]",Feel Good Beats,,,MTY2NDQ5OTYwMCwwMDAwMDAwMGU5ZDA1OTQ0YmVhOGUwOWRmNDY5YWI4NzZlMTA2Yzc2,playlist,spotify:playlist:37i9dQZF1DXcNb6Ba0LuVc,https://open.spotify.com/playlist/37i9dQZF1DXcNb6Ba0LuVc,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXcNb6Ba0LuVc/tracks,208
56,False,"Chill, tropical vibes only.",https://api.spotify.com/v1/playlists/37i9dQZF1DXbtuVQL4zoey,37i9dQZF1DXbtuVQL4zoey,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000385305faef8dac6072bf73b76', 'width': None}]",Sunny Beats,,,MTY2NDQ5OTYwMCwwMDAwMDAwMDVmMTU5MTE2YmFkYjNjZTFiNzUzNTZiOTRlZDc3ZGE3,playlist,spotify:playlist:37i9dQZF1DXbtuVQL4zoey,https://open.spotify.com/playlist/37i9dQZF1DXbtuVQL4zoey,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXbtuVQL4zoey/tracks,281
57,False,"Blue skies, nothing but blue skies. Sun in your eyes and uplifting jazz in your ears on a sunny day.",https://api.spotify.com/v1/playlists/37i9dQZF1DX0tnKPLNG9Ld,37i9dQZF1DX0tnKPLNG9Ld,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000039c21b55a0ee92e081a0f6283', 'width': None}]",Sunny Day Jazz,,,MTY2NTA0MTI4OCwwMDAwMDAwMDQzODU5N2FlY2JiZDQ0NTJjYjQwMzMzODhlNTM2NDY1,playlist,spotify:playlist:37i9dQZF1DX0tnKPLNG9Ld,https://open.spotify.com/playlist/37i9dQZF1DX0tnKPLNG9Ld,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX0tnKPLNG9Ld/tracks,100
58,False,Grab your dancing shoes and strut your stuff with these upbeat blues numbers.,https://api.spotify.com/v1/playlists/37i9dQZF1DXaPpS4GmGB4L,37i9dQZF1DXaPpS4GmGB4L,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000309ae4e9b3cef9bd75e5a45ed', 'width': None}]",Upbeat Blues,,,MTY2NDg4NzQ3NiwwMDAwMDAwMGNiZDc4N2I1NmYyYTk1NWJmODdiZmNjY2NiNzhlMjZh,playlist,spotify:playlist:37i9dQZF1DXaPpS4GmGB4L,https://open.spotify.com/playlist/37i9dQZF1DXaPpS4GmGB4L,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXaPpS4GmGB4L/tracks,50
59,False,Kick back to the best new and recent chill hits.,https://api.spotify.com/v1/playlists/37i9dQZF1DX4WYpdgoIcn6,37i9dQZF1DX4WYpdgoIcn6,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003467a38f82a338f9fe3ae9773', 'width': None}]",Chill Hits,,,MTY2NDQ4ODgwMCwwMDAwMDAwMDg2YTRhZGRlOGNmMWNiZTA3NGRhNzhhNTliMGE3OTM3,playlist,spotify:playlist:37i9dQZF1DX4WYpdgoIcn6,https://open.spotify.com/playlist/37i9dQZF1DX4WYpdgoIcn6,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4WYpdgoIcn6/tracks,130
60,False,"Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>.",https://api.spotify.com/v1/playlists/37i9dQZF1DX6VdMW310YC7,37i9dQZF1DX6VdMW310YC7,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003aa3d57de0916a2fe3dc6fd56', 'width': None}]",Chill Tracks,,,MTY2NDUxMDQwMCwwMDAwMDAwMDljNzM2NDNlMzg0NTIzNTFlZTljZjdhOThmMThiM2E1,playlist,spotify:playlist:37i9dQZF1DX6VdMW310YC7,https://open.spotify.com/playlist/37i9dQZF1DX6VdMW310YC7,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6VdMW310YC7/tracks,200
61,False,"The chillest beats to help you relax, study, code, and focus.",https://api.spotify.com/v1/playlists/37i9dQZF1DWWQRwui0ExPn,37i9dQZF1DWWQRwui0ExPn,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003abaf6c3c6a4b29f8a4565a86', 'width': None}]",lofi beats,,,MTY2NDQ5OTYwMCwwMDAwMDAwMDZjZTBlZWNhNmY3NzgxOTc4MDk4YzMzZGVkYzVlZmFj,playlist,spotify:playlist:37i9dQZF1DWWQRwui0ExPn,https://open.spotify.com/playlist/37i9dQZF1DWWQRwui0ExPn,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWWQRwui0ExPn/tracks,1000
62,False,Soft instrumental Jazz for all your activities.,https://api.spotify.com/v1/playlists/37i9dQZF1DWV7EzJMK2FUI,37i9dQZF1DWV7EzJMK2FUI,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000036808b15e5db5e5569aae1471', 'width': None}]",Jazz in the Background,,,MTY2NDQ4ODg2MCwwMDAwMDAwMGEwYzM1YjY0ZTFhNjgyMzRlZjM4M2IzNTE2ODQ3NjYw,playlist,spotify:playlist:37i9dQZF1DWV7EzJMK2FUI,https://open.spotify.com/playlist/37i9dQZF1DWV7EzJMK2FUI,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWV7EzJMK2FUI/tracks,370
63,False,"Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>.",https://api.spotify.com/v1/playlists/37i9dQZF1DX2TRYkJECvfC,37i9dQZF1DX2TRYkJECvfC,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000336b7c4ece12f6a254f41d5c1', 'width': None}]",Deep House Relax,,,MTY2MTc4MjU0NywwMDAwMDAwMGY5MmZlOGY4MzFkYjVmMjM4NjA1ZTk3MjU0ZGQxNjc4,playlist,spotify:playlist:37i9dQZF1DX2TRYkJECvfC,https://open.spotify.com/playlist/37i9dQZF1DX2TRYkJECvfC,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX2TRYkJECvfC/tracks,200
